url,naslov,kraj,ime,vrsta,nadstropje,leto,velikost,cena,ponudnik,dan,mesec
/oglasi-oddaja/brdo-vrhovci-parkirisce-stanovanje_6023598/,"BRDO, VRHOVCI, PARKIRIŠČE",BRDO,"BRDO, VRHOVCI, PARKIRIŠČE",Stanovanje,2,2012,10.0,160.0,"Rebernik nepremičnine, Samo Rebernik s.p.",1,1
/oglasi-oddaja/brdo-vrhovci-parkirisce-stanovanje_6193597/,"BRDO, VRHOVCI, PARKIRIŠČE",BRDO,"BRDO, VRHOVCI, PARKIRIŠČE",Stanovanje,P,2012,27.0,330.0,"Rebernik nepremičnine, Samo Rebernik s.p.",1,1
/oglasi-oddaja/brdo-zeleni-gaj-garaza_6011873/,"BRDO, ZELENI GAJ",BRDO,"BRDO, ZELENI GAJ",Garaža,K,2014,12.0,40.0,Zasebna ponudba,1,1
/oglasi-oddaja/brdo-zeleni-gaj-stanovanje_6157534/,"BRDO, ZELENI GAJ",BRDO,"BRDO, ZELENI GAJ",Stanovanje,P,2017,74.0,900.0,Zasebna ponudba,1,1
/oglasi-oddaja/brezno-poslovni-prostor_5955237/,BREZNO,BREZNO,BREZNO,Poslovni prostor,,1989,1500.0,4050.0000000000005,Bajtiga poslovanje z nepremičninami d.o.o.,1,1
/oglasi-oddaja/brezovica-pri-ljubljani-poslovni-prostor_6178132/,BREZOVICA PRI LJUBLJANI,BREZOVICA PRI LJUBLJANI,BREZOVICA PRI LJUBLJANI,Poslovni prostor,1,2018,200.0,2000.0,Nepremičnine Plus d.o.o.,1,1
/oglasi-oddaja/brezovica-pri-ljubljani-poslovni-prostor_6178128/,BREZOVICA PRI LJUBLJANI,BREZOVICA PRI LJUBLJANI,BREZOVICA PRI LJUBLJANI,Poslovni prostor,P,2018,550.0,8.5,Nepremičnine Plus d.o.o.,1,1
/oglasi-oddaja/brezovica-pri-ljubljani-dragomer-brezovici-poslovni-prostor_6196156/,"BREZOVICA PRI LJUBLJANI, DRAGOMER BREZOVICI",BREZOVICA PRI LJUBLJANI,"BREZOVICA PRI LJUBLJANI, DRAGOMER BREZOVICI",Poslovni prostor,,2017,100.0,600.0,Zasebna ponudba,1,1
/oglasi-oddaja/brezovica-pri-ljubljani-notranje-gorice-stanovanje_6197078/,"BREZOVICA PRI LJUBLJANI, NOTRANJE GORICE",BREZOVICA PRI LJUBLJANI,"BREZOVICA PRI LJUBLJANI, NOTRANJE GORICE",Stanovanje,1,1997,70.0,500.0,Zasebna ponudba,1,1
/oglasi-oddaja/brezovica-pri-ljubljani-podsmreka-hisa_6193036/,"BREZOVICA PRI LJUBLJANI, PODSMREKA",BREZOVICA PRI LJUBLJANI,"BREZOVICA PRI LJUBLJANI, PODSMREKA",Hiša,,2003,250.0,2500.0,Medvešek Pušnik Nepremičnine d.o.o.,1,1
